title,subtitle,artist,img_link,year
The Creation,Oil on panel,"Bosch, Hieronymus (Workshop Of)",https://content3.cdnprado.net/imagenes/Documentos/imgsem/b5/b5cb/b5cb7209-0009-4b8f-ab20-d6db0617a9fa/e3e1d8f0-71c0-456d-8abb-8bae30d65aa1_268.jpg,1500
Saint Dominic and four Saints,Tempera on panel,"Peris, Gonçal; Gener, Guerau",https://content3.cdnprado.net/imagenes/Documentos/imgsem/bb/bb9e/bb9e8417-4ea8-4e8e-8dbe-adc9b07e829e/a0e49caf-4ec9-4389-b4fd-9d44f94c28eb_268.jpg,1405
The Agony in the Garden with the Donor Louis I d’Orléans,Tempera grassa on oak panel,"Laon, Colart de (?)",https://content3.cdnprado.net/imagenes/Documentos/imgsem/e0/e095/e095e622-a8c8-47c9-979f-de9dbd40d1bf/7c2a5741-490e-4758-beb2-28165639b032_268.jpg,1408
The Petition of Saint Ursula's Hand in Marriage,Tempera on panel,"Mateu, Jaume",https://content3.cdnprado.net/imagenes/Documentos/imgsem/78/784f/784f99ae-002a-4bd7-92b9-a3f511e1e890/3e505b77-7059-4b3c-a639-7da9d8427b03_268.jpg,1410
The King of England is Informed of Saint Ursula’s Proposal,Tempera on panel,"Mateu, Jaume",https://content3.cdnprado.net/imagenes/Documentos/imgsem/52/5234/5234beea-7bfe-4ceb-9cdd-77692ac6073d/e502bafd-37f5-4ed5-9e05-16694b0f76e1_268.jpg,1410
Saint John the Evangelist,Mixed method on panel,"Mateu, Jaume",https://content3.cdnprado.net/imagenes/Documentos/imgsem/ef/ef8e/ef8ecc8d-0e99-4da8-afd3-875414a6a258/d146abe8-52fa-4041-ae66-0dbf9fc46ef3_268.jpg,1410
Retable of Saints John the Baptist and Catherine,"Oil, Tempera on panel","Sevilla, Juan de (Author Of The Original Work); Juan Soreda",https://content3.cdnprado.net/imagenes/Documentos/imgsem/4e/4e20/4e201004-f7ea-48b0-a87c-5f08b3e772eb/67d10bd6-aff3-45c9-816f-3dcfd2f14dcf_268.jpg,1412
Altarpiece of Archbishop Sancho de Rojas,Tempera on pine panel,"Rodríguez de Toledo, Juan",https://content3.cdnprado.net/imagenes/Documentos/imgsem/ca/caa3/caa32b8f-0dc3-4e0f-ba92-236849ec5e5b/4be90e92-0c6e-4fc6-abab-ef3d79d4a62f_268.jpg,1420
Saint Hippolyte curing the Leg of the Oxherd Peter,Mixed method on panel,"Borrassà, Luis",https://content3.cdnprado.net/imagenes/Documentos/imgsem/7c/7c4e/7c4ef1a6-50c1-41b9-8cbc-7fbe82a38d1f/50342237-3c3b-4bad-a0a3-2306b96b6d07_268.jpg,1421
The Annunciation,Oil on oak panel,"Campin, Robert",https://content3.cdnprado.net/imagenes/Documentos/imgsem/52/52a6/52a6820f-892a-4796-b99e-d631ef17e96a/b7e1c5ba-0ad6-4706-8640-543999b27e9e_268.jpg,1425
The Betrothal of the Virgin,"Grisaille, Oil on oak panel","Campin, Robert",https://content3.cdnprado.net/imagenes/Documentos/imgsem/6f/6f30/6f303c39-3d03-4d48-8bb0-ffe162d017dd/b9ff7e25-3822-4921-88c0-888580c31866_268.jpg,1430
The Virgin with the Pomegranate,Tempera on panel,"Angelico, Fra",https://content3.cdnprado.net/imagenes/Documentos/imgsem/61/61b6/61b654df-1de2-483f-88bb-404f37747d4a/4de0d89b-a89d-4649-931f-f6a2ec2f0b6a_268.jpg,1426
The Annunciation,Tempera on panel,"Angelico, Fra",https://content3.cdnprado.net/imagenes/Documentos/imgsem/f8/f8e4/f8e45a6f-7645-4e53-9fd5-cbdae7e8faac/9a332c5b-e47c-4ba3-99cd-fd484ba04401_268.jpg,1426
Scenes from the Life of the Virgin,Tempera on panel,"Angelico, Fra",https://content3.cdnprado.net/imagenes/Documentos/imgsem/7d/7da1/7da17107-db99-4819-b73c-f5cb0b26915a/7e349409-de56-422f-9c45-6be0e0b74a85_268.jpg,1426
The Descent from the Cross,Oil on panel,"Weyden, Rogier Van Der",https://content3.cdnprado.net/imagenes/Documentos/imgsem/85/856d/856d822a-dd22-4425-bebd-920a1d416aa7/99bd59a4-7933-42cd-9453-fc4a5a0dcea0_268.jpg,1443
The Archangel Gabriel,Tempera on panel,"Peris, Gonçal",https://content3.cdnprado.net/imagenes/Documentos/imgsem/f9/f950/f9508b1a-be12-4614-9443-f907e1bb2b8a/66e2f734-c01f-4004-8e63-af42a5ca42e0_268.jpg,1450
The Virgin Annunciate,Tempera on panel,"Peris, Gonçal",https://content3.cdnprado.net/imagenes/Documentos/imgsem/f6/f603/f603bcb1-50ab-4e35-b641-a6a761096084/296bf741-f32d-4d30-ba87-ead95013fb76_268.jpg,1450
The Arrival in England of Saint Ursula,Tempera on panel,"Mateu, Jaume",https://content.cdnprado.net/imagenes/Documentos/imgsem/5f/5fd8/5fd8f6c1-034d-4422-8090-8b5192152bae/fa341189-c6ef-423d-a275-c25f06eab667_268.jpg,1450
The Funeral of Saint Anthony Abbot,Tempera on poplar panel,"Angelico, Fra",https://content3.cdnprado.net/imagenes/Documentos/imgsem/1a/1af1/1af1dc35-845c-43d3-b701-f5f9747e3113/10c3c686-40bf-4b13-adb7-7d613b7cae39_268.jpg,1430
The seven Liberal Arts,Tempera on panel,"Ponte, Giovanni Dal",https://content3.cdnprado.net/imagenes/Documentos/imgsem/89/89d9/89d9f351-fff6-4141-9efc-d5ea2951b488/a3eb516c-9470-4f14-a9ca-1b151569914c_268.jpg,1435
"The Virgin and Child, known as the Durán Madonna",Oil on panel,"Weyden, Rogier Van Der",https://content3.cdnprado.net/imagenes/Documentos/imgsem/71/71ea/71eaabd3-2232-449e-9e01-4f302ebbe3e0/6d0af3a2-6f09-4399-909d-692a306b7b19_268.jpg,1438
Altarpiece of the Virgin,Tempera on panel,Master Of Torralba,https://content3.cdnprado.net/imagenes/Documentos/imgsem/8b/8b3e/8b3e5653-9268-407f-af5c-4042351854cf/9a81c888-3e1b-453a-8485-0af1574f72ba_268.jpg,1440
Altarpiece of Saint Michael,Tempera on panel,Master Of Arguis,https://content1.cdnprado.net/imagenes/Documentos/imgsem/83/83b9/83b9d84f-2347-4812-9a36-b1e70c7cee2a/4648bc1e-f7e0-418d-94cc-82d26009fe99_268.jpg,1440
Triptych with Episodes from the Life of Christ,"Grisaille, Oil on oak panel",Master Of The Collins Hours,https://content3.cdnprado.net/imagenes/Documentos/imgsem/39/3974/39740f98-336b-4d80-8120-bd6e0c4bd96f/0b3aee1a-08c6-492a-ad4e-1ab327a5d933_268.jpg,1440
