title,subtitle,artist,img_link,year,img_name
The Saviour,Oil on panel,"Bellini, Giovanni (Workshop Of)",https://content3.cdnprado.net/imagenes/Documentos/imgsem/3a/3a39/3a39ebf6-66a9-42ce-9797-ddb445207684/cae58462-d727-4ef2-a001-9657c0512088_268.jpg,1929,cae58462-d727-4ef2-a001-9657c0512088_268.jpg
The Virgin Dolorosa (?),Oil on panel,"Bouts, Dirk",https://content3.cdnprado.net/imagenes/Documentos/imgsem/58/585a/585af3e2-799c-478f-87ce-1705345f7efe/52001519-b415-49c3-b6e6-c938c9a0f862_268.jpg,1929,52001519-b415-49c3-b6e6-c938c9a0f862_268.jpg
Triptych of the Adoration of the Magi,"Grisaille, Oil on oak panel","Bosch, Hieronymus",https://content3.cdnprado.net/imagenes/Documentos/imgsem/66/6667/666788cc-c522-421b-83f0-5ad84b9377f7/af21a6b1-9aa6-4aad-8646-b766eafa1cb5_268.jpg,1494,af21a6b1-9aa6-4aad-8646-b766eafa1cb5_268.jpg
Donor Agneese de Gramme protected by Saint Agnes,Oil on oak panel,"Bosch, Hieronymus",https://content3.cdnprado.net/imagenes/Documentos/imgsem/39/392b/392bbe79-4fdb-47a7-98ac-f93848ea396f/1d9b34b0-7342-4854-bdf6-36ad647517fd_268.jpg,1494,1d9b34b0-7342-4854-bdf6-36ad647517fd_268.jpg
The Virgin and Saint Joseph Adoring the Christ Child,Oil on panel,"Maineri Da Parma, Gian Francesco de",https://content3.cdnprado.net/imagenes/Documentos/imgsem/47/4777/4777df98-25b9-4d94-9ef1-8dcdaca7a693/9eaa4eb4-5bf5-4cb3-865a-fd55aec23b42_268.jpg,1504,9eaa4eb4-5bf5-4cb3-865a-fd55aec23b42_268.jpg
The Nativity,Oil on panel,"Osona, Rodrigo de; Osona, Francisco de",https://content3.cdnprado.net/imagenes/Documentos/imgsem/a7/a759/a75925c3-3048-4333-80d8-5ecdfc285fcf/a61578cd-a324-44a6-844d-715d9bce26c3_268.jpg,1490,a61578cd-a324-44a6-844d-715d9bce26c3_268.jpg
The Adoration of the Magi,Oil on panel,"Osona, Rodrigo de; Osona, Francisco de",https://content3.cdnprado.net/imagenes/Documentos/imgsem/cf/cfc4/cfc45fc4-f60d-4d99-83c2-b2934f99a491/e748aa02-4f5c-49a7-9195-75d75063cf74_268.jpg,1490,e748aa02-4f5c-49a7-9195-75d75063cf74_268.jpg
Christ before Pilate,Oil on panel,"Osona, Rodrigo de; Osona, Francisco de",https://content3.cdnprado.net/imagenes/Documentos/imgsem/db/db04/db04e20e-635b-4ed4-b30a-6851fe7bc969/1989e945-0f16-4871-ab33-ccd1ff82416d_268.jpg,1490,1989e945-0f16-4871-ab33-ccd1ff82416d_268.jpg
The Taking of Christ,Oil on panel,"Osona, Rodrigo de; Osona, Francisco de",https://content3.cdnprado.net/imagenes/Documentos/imgsem/cd/cdbb/cdbb12fa-1300-4fb4-98ac-4fbc65bb7e20/a1f86b13-af1b-402f-9e08-ee1e1f55c4ee_268.jpg,1490,a1f86b13-af1b-402f-9e08-ee1e1f55c4ee_268.jpg
Saint John the Baptist,Oil on panel,Anonymous,https://content.cdnprado.net/imagenes/Documentos/imgsem/23/23a4/23a4f207-69ec-4051-b160-825a537e1a35/f4ce0dd8-a6f5-4f3f-96a2-7e7f57798e1b_268.jpg,1495,f4ce0dd8-a6f5-4f3f-96a2-7e7f57798e1b_268.jpg
Saint John the Evangelist,Oil on panel,Anonymous,https://content3.cdnprado.net/imagenes/Documentos/imgsem/33/33f4/33f47f15-4f4a-4aaa-893b-b9e17dc7bd40/14f7c9b6-0be0-4296-9bb8-f8ea5577e88c_268.jpg,1495,14f7c9b6-0be0-4296-9bb8-f8ea5577e88c_268.jpg
The Visitation,"Oil, Tempera on panel","Segovia, Juan de",https://content3.cdnprado.net/imagenes/Documentos/imgsem/50/5009/5009099b-da85-4078-b593-c5cb38f22a48/754aa781-dbcb-4aad-b419-8df42f5e147f_268.jpg,1500,754aa781-dbcb-4aad-b419-8df42f5e147f_268.jpg
The Birth of Saint John the Baptist,"Oil, Tempera on panel","Segovia, Juan de",https://content3.cdnprado.net/imagenes/Documentos/imgsem/96/96a3/96a33ea3-d11a-4339-bfe7-c7cfb948c656/f8380d7e-4a83-4571-983d-485fee01f201_268.jpg,1500,f8380d7e-4a83-4571-983d-485fee01f201_268.jpg
